legacy_primary_category,taxonomy_primary,taxonomy_hierarchy,taxonomy_display_name
blacksmiths,blacksmith,services_and_business > building_or_construction_service > blacksmith,Blacksmith
blood_and_plasma_donation_center,blood_and_plasma_donation_center,health_care > medical_service > blood_and_plasma_donation_center,Blood and Plasma Donation Center
blow_dry_blow_out_service,blow_dry_blow_out_service,lifestyle_services > personal_or_beauty_service > hair_salon > blow_dry_blow_out_service,Blow Dry Blow Out Service
blueprinters,blueprinter,services_and_business > building_or_construction_service > blueprinter,Blueprinter
board_of_education_offices,board_of_education_office,education > education_office > board_of_education_office,Board of Education Office
boat_builder,boat_and_ship_manufacturer,services_and_business > b2b_service > manufacturer > vehicle_manufacturer > boat_and_ship_manufacturer,Boat and Ship Manufacturer
boat_charter,boat_charter,services_and_business > event_or_party_service > boat_charter,Boat Charter
boat_dealer,boat_dealer,shopping > vehicle_dealer > boat_dealer,Boat Dealer
boat_parts_and_accessories,boat_parts_store,shopping > specialty_store > vehicle_parts_store > boat_parts_store,Boat Parts Store
boat_parts_and_supply_store,boat_parts_store,shopping > specialty_store > vehicle_parts_store > boat_parts_store,Boat Parts Store
boat_rental_and_training,boat_rental_and_training,sports_and_recreation > recreational_equipment_rental > boat_rental_and_training,Boat Rental and Training
boat_service_and_repair,boat_service,travel_and_transportation > vehicle_service > boat_service,Boat Service
boat_storage_facility,boat_storage_facility,services_and_business > storage_facility > boat_storage_facility,Boat Storage Facility
boat_tours,boat_tour,travel_and_transportation > travel_service > tour_operator > boat_tour,Boat Tour
boating_places,boating_place,sports_and_recreation > sport_or_fitness_facility > water_sport > boating_place,Boating Place
bobsledding_field,bobsledding_field,sports_and_recreation > sport_or_fitness_facility > snow_sport > bobsledding_field,Bobsledding Field
bocce_ball_court,bocce_ball_court,sports_and_recreation > sport_or_fitness_facility > sport_court > bocce_ball_court,Bocce Ball Court
body_contouring,body_contouring,health_care > outpatient_care_facility > specialized_health_care > medical_skin_care > body_contouring,Body Contouring
bolivian_restaurant,bolivian_restaurant,food_and_drink > restaurant > latin_american_restaurant > south_american_restaurant > bolivian_restaurant,Bolivian Restaurant
book_magazine_distribution,book_magazine_distribution,services_and_business > media_service > media_news_company > book_magazine_distribution,Book Magazine Distribution
bookbinding,bookbinding,services_and_business > media_service > bookbinding,Bookbinding
bookkeeper,bookkeeper,services_and_business > professional_service > bookkeeper,Bookkeeper
bookmakers,betting_center,arts_and_entertainment > gaming_venue > betting_center,Betting Center
books_mags_music_and_video,books_music_and_video_store,shopping > specialty_store > books_music_and_video_store,Books Music and Video Store
bookstore,bookstore,shopping > specialty_store > books_music_and_video_store > bookstore,Bookstore
boot_camp,boot_camp,sports_and_recreation > sport_or_fitness_facility > fitness_studio > boot_camp,Boot Camp
botanical_garden,botanical_garden,geographic_entities > built_feature > garden > botanical_garden,Botanical Garden
bottled_water_company,bottled_water_company,services_and_business > corporate_or_business_office > bottled_water_company,Bottled Water Company
boudoir_photography,boudoir_photography_service,services_and_business > media_service > photography_service > boudoir_photography_service,Boudoir Photography Service
bounce_house_rental,bounce_house_rental,services_and_business > event_or_party_service > bounce_house_rental,Bounce House Rental
boutique,fashion_boutique,shopping > fashion_and_apparel_store > fashion_boutique,Fashion Boutique
bowling_alley,bowling_alley,sports_and_recreation > sport_or_fitness_facility > bowling_alley,Bowling Alley
box_lunch_supplier,box_lunch_supplier,services_and_business > b2b_service > supplier_or_distributor > box_lunch_supplier,Box Lunch Supplier
boxing_class,boxing_class,sports_and_recreation > sport_or_fitness_facility > boxing_class,Boxing Class
boxing_club,boxing_gym,sports_and_recreation > sport_or_fitness_facility > boxing_gym,Boxing Gym
boxing_gym,boxing_gym,sports_and_recreation > sport_or_fitness_facility > boxing_gym,Boxing Gym
brake_service_and_repair,brake_service_and_repair,travel_and_transportation > vehicle_service > automotive_service > automotive_repair > brake_service_and_repair,Brake Service and Repair
brasserie,brasserie,food_and_drink > restaurant > european_restaurant > western_european_restaurant > french_restaurant > brasserie,Brasserie
brazilian_jiu_jitsu_club,brazilian_jiu_jitsu_club,sports_and_recreation > sport_or_recreation_club > martial_arts_club > brazilian_jiu_jitsu_club,Brazilian Jiu Jitsu Club
brazilian_restaurant,brazilian_restaurant,food_and_drink > restaurant > latin_american_restaurant > south_american_restaurant > brazilian_restaurant,Brazilian Restaurant
breakfast_and_brunch_restaurant,breakfast_and_brunch_restaurant,food_and_drink > restaurant > breakfast_and_brunch_restaurant,Breakfast and Brunch Restaurant
brewery,brewery,food_and_drink > alcoholic_beverage_venue > brewery,Brewery
brewing_supply_store,brewing_supply_store,shopping > food_and_beverage_store > brewing_supply_store,Brewing Supply Store
bridal_shop,bridal_shop,shopping > fashion_and_apparel_store > clothing_store > bridal_shop,Bridal Shop
bridge,bridge,geographic_entities > built_feature > bridge,Bridge
british_restaurant,british_restaurant,food_and_drink > restaurant > european_restaurant > western_european_restaurant > british_restaurant,British Restaurant
broadcasting_media_production,broadcasting_media_production,services_and_business > media_service > media_news_company > broadcasting_media_production,Broadcasting Media Production
brokers,broker,services_and_business > financial_service > broker,Broker
bubble_soccer_field,soccer_field,sports_and_recreation > sport_or_fitness_facility > sport_field > soccer_field,Soccer Field
bubble_tea,bubble_tea_shop,food_and_drink > non_alcoholic_beverage_venue > bubble_tea_shop,Bubble Tea Shop
buddhist_temple,buddhist_place_of_worship,cultural_and_historic > place_of_worship > buddhist_place_of_worship,Buddhist Place of Worship
buffet_restaurant,buffet_restaurant,food_and_drink > restaurant > buffet_restaurant,Buffet Restaurant
builders,builder,services_and_business > real_estate_service > builder,Builder
building_contractor,building_contractor,services_and_business > home_service > contractor > building_contractor,Building Contractor
building_supply_store,building_supply_store,shopping > specialty_store > hardware_home_and_garden_store > building_supply_store,Building Supply Store
bulgarian_restaurant,bulgarian_restaurant,food_and_drink > restaurant > european_restaurant > eastern_european_restaurant > bulgarian_restaurant,Bulgarian Restaurant
bulk_billing,medical_billing,health_care > medical_service > medical_billing,Medical Billing
bungee_jumping_center,bungee_jumping_center,sports_and_recreation > sport_or_fitness_facility > adventure_sport > bungee_jumping_center,Bungee Jumping Center
burger_restaurant,burger_restaurant,food_and_drink > restaurant > meat_restaurant > burger_restaurant,Burger Restaurant
burmese_restaurant,burmese_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > burmese_restaurant,Burmese Restaurant
bus_rentals,bus_rental,services_and_business > rental_service > bus_rental,Bus Rental
bus_service,public_transit_facility_or_service,travel_and_transportation > ground_transport_facility_or_service > public_transit_facility_or_service,Public Transit Facility or Service
bus_station,bus_station,travel_and_transportation > ground_transport_facility_or_service > public_transit_facility_or_service > bus_station,Bus Station
bus_ticket_agency,bus_ticket_agency,travel_and_transportation > ground_transport_facility_or_service > public_transit_facility_or_service > bus_ticket_agency,Bus Ticket Agency
bus_tours,bus_tour,travel_and_transportation > travel_service > tour_operator > bus_tour,Bus Tour
business,corporate_or_business_office,services_and_business > corporate_or_business_office,Corporate or Business Office
business_advertising,b2b_advertising_and_marketing_service,services_and_business > b2b_service > b2b_office_and_professional_service > b2b_advertising_and_marketing_service,B2B Advertising and Marketing Service
business_banking_service,business_banking_service,services_and_business > financial_service > business_banking_service,Business Banking Service
business_brokers,business_broker,services_and_business > financial_service > broker > business_broker,Business Broker
business_consulting,business_consulting,services_and_business > professional_service > business_consulting,Business Consulting
business_equipment_and_supply,supplier_or_distributor,services_and_business > b2b_service > supplier_or_distributor,Supplier or Distributor
business_financing,business_financing,services_and_business > financial_service > business_financing,Business Financing
business_law,business_law,services_and_business > legal_service > attorney_or_law_firm > business_law,Business Law
business_management_services,b2b_business_management_service,services_and_business > b2b_service > b2b_office_and_professional_service > b2b_business_management_service,B2B Business Management Service
business_manufacturing_and_supply,manufacturer,services_and_business > b2b_service > manufacturer,Manufacturer
business_office_supplies_and_stationery,business_office_supplies_and_stationery,services_and_business > b2b_service > supplier_or_distributor > business_office_supplies_and_stationery,Business Office Supplies and Stationery
business_records_storage_and_management,b2b_records_storage_service,services_and_business > b2b_service > b2b_office_and_professional_service > b2b_records_storage_service,B2B Records Storage Service
business_schools,business_school,education > place_of_learning > college_university > business_school,Business School
business_signage,b2b_signage_service,services_and_business > b2b_service > b2b_office_and_professional_service > b2b_advertising_and_marketing_service > b2b_signage_service,B2B Signage Service
business_storage_and_transportation,b2b_transportation_and_storage_service,services_and_business > b2b_service > b2b_transportation_and_storage_service,B2B Transportation and Storage Service
business_to_business,b2b_service,services_and_business > b2b_service,B2B Service
business_to_business_services,b2b_service,services_and_business > b2b_service,B2B Service
butcher_shop,butcher_shop,shopping > food_and_beverage_store > butcher_shop,Butcher Shop
